Time,Heart Rate,Respiration Rate,Location
0,61,11,"[26, -20]"
1,50,12,"[-90, 25]"
2,63,11,"[28, -76]"
3,53,10,"[-27, 20]"
4,63,11,"[-32, 61]"
5,56,12,"[26, 37]"
6,58,10,"[-30, -44]"
7,60,10,"[82, 65]"
8,57,11,"[-38, -60]"
9,52,11,"[92, 42]"
10,55,11,"[-58, -50]"
11,59,11,"[76, -53]"
12,61,11,"[-85, 38]"
13,57,12,"[14, -61]"
14,65,10,"[-23, -80]"
15,65,12,"[-67, 55]"
16,63,10,"[-61, 40]"
17,59,11,"[-33, 31]"
18,58,12,"[65, 52]"
19,63,12,"[-21, 45]"
20,59,12,"[58, 30]"
21,52,12,"[-62, -32]"
22,53,10,"[74, -69]"
23,62,10,"[-41, -53]"
24,54,12,"[39, 23]"
25,54,11,"[49, 64]"
26,57,12,"[18, 61]"
27,55,11,"[-7, 69]"
28,54,11,"[14, -22]"
29,57,10,"[-65, -74]"
30,61,11,"[24, -13]"
31,50,10,"[77, -10]"
32,52,10,"[-73, 58]"
33,55,11,"[88, 25]"
34,62,10,"[34, -2]"
35,54,12,"[-44, 66]"
36,54,11,"[-39, -47]"
37,56,10,"[87, 30]"
38,58,11,"[-48, 83]"
39,52,11,"[10, -76]"
40,58,11,"[52, -11]"
41,60,10,"[99, -30]"
42,56,12,"[-3, 4]"
43,65,10,"[-13, -73]"
44,52,11,"[46, -39]"
45,55,11,"[-28, -6]"
46,58,12,"[77, -3]"
47,53,12,"[-99, -65]"
48,59,10,"[-81, 74]"
49,64,12,"[-32, 78]"
50,63,11,"[-62, 11]"
51,65,12,"[-31, 90]"
52,60,11,"[-98, -69]"
53,60,11,"[22, 97]"
54,65,12,"[-80, -40]"
55,58,10,"[-84, -53]"
56,56,11,"[-46, -78]"
57,55,10,"[-39, -9]"
58,64,11,"[-9, -43]"
59,51,11,"[-5, -96]"
60,50,12,"[-61, -27]"
61,60,11,"[-19, 4]"
62,51,12,"[-36, -2]"
63,61,12,"[98, -62]"
64,64,11,"[52, 91]"
65,52,12,"[98, 57]"
66,57,10,"[-31, 68]"
67,64,12,"[10, 90]"
68,54,10,"[46, -65]"
69,51,11,"[-48, -94]"
70,61,12,"[-51, -9]"
71,63,12,"[45, -94]"
72,63,12,"[59, -89]"
73,59,10,"[12, 79]"
74,59,12,"[89, 12]"
75,57,11,"[68, -18]"
76,57,10,"[55, 18]"
77,51,10,"[-93, -19]"
78,52,11,"[-93, 34]"
79,53,11,"[62, -17]"
80,55,12,"[79, -13]"
81,54,11,"[80, -80]"
82,54,10,"[-88, 76]"
83,56,11,"[68, -11]"
84,59,10,"[-94, -86]"
85,53,11,"[-72, -42]"
86,51,12,"[42, 17]"
87,51,11,"[0, -76]"
88,58,10,"[74, 80]"
89,63,11,"[19, 71]"
90,65,11,"[2, -25]"
91,65,12,"[17, -34]"
92,57,11,"[56, -30]"
93,56,11,"[-77, 56]"
94,57,12,"[-2, -32]"
95,58,12,"[25, -44]"
96,53,10,"[98, 81]"
97,52,10,"[-22, 36]"
98,64,11,"[-33, 17]"
99,53,10,"[-89, -58]"
100,53,10,"[-77, 59]"
101,53,11,"[56, 99]"
102,64,12,"[-74, -58]"
103,62,11,"[-23, -92]"
104,55,10,"[-90, -62]"
105,58,12,"[41, -33]"
106,50,12,"[-20, -20]"
107,64,10,"[-79, -62]"
108,57,10,"[44, -6]"
109,58,10,"[-75, -19]"
110,54,11,"[-5, -79]"
111,65,12,"[-83, -70]"
112,58,10,"[-19, -71]"
113,52,12,"[29, 13]"
114,63,11,"[-17, 27]"
115,56,11,"[70, 0]"
116,62,11,"[62, 73]"
117,58,10,"[45, -25]"
118,57,11,"[39, -46]"
119,61,12,"[-88, 45]"
120,58,10,"[83, 47]"
121,57,12,"[7, -15]"
122,56,12,"[-66, 57]"
123,63,10,"[28, -58]"
124,58,10,"[-84, 57]"
125,59,12,"[40, 59]"
126,50,10,"[12, 93]"
127,58,10,"[61, 48]"
128,62,10,"[66, 92]"
129,64,11,"[-31, 51]"
130,63,10,"[-45, -30]"
131,58,12,"[36, -62]"
132,56,11,"[67, -50]"
133,65,10,"[-1, 9]"
134,54,11,"[-40, 54]"
135,52,10,"[56, 20]"
136,56,12,"[26, -15]"
137,62,12,"[-97, 47]"
138,55,12,"[-29, -12]"
139,51,12,"[-81, 92]"
140,52,11,"[60, -51]"
141,57,11,"[34, -24]"
142,61,12,"[60, 7]"
143,63,11,"[-84, 2]"
144,61,12,"[48, -17]"
145,54,10,"[46, 17]"
146,60,10,"[-53, 15]"
147,53,11,"[-31, -66]"
148,62,12,"[52, 33]"
149,54,12,"[59, 49]"
150,62,10,"[25, -77]"
151,61,12,"[56, 49]"
152,54,12,"[29, -12]"
153,54,10,"[-23, -93]"
154,51,12,"[87, 24]"
155,57,11,"[-14, -54]"
156,58,12,"[92, 37]"
157,56,11,"[-15, 52]"
158,54,10,"[-57, -17]"
159,63,10,"[-1, 40]"
160,59,10,"[87, -14]"
161,60,11,"[60, -6]"
162,63,10,"[-11, -82]"
163,63,11,"[-97, 6]"
164,61,10,"[-67, -86]"
165,61,12,"[-91, 40]"
166,55,12,"[-74, -61]"
167,57,11,"[77, 3]"
168,55,12,"[-68, -38]"
169,53,11,"[5, 52]"
170,58,10,"[93, -68]"
171,54,10,"[-22, -70]"
172,52,10,"[-4, 14]"
173,55,11,"[82, 1]"
174,59,10,"[82, -68]"
175,60,12,"[-8, 81]"
176,61,10,"[-79, -84]"
177,56,11,"[42, 25]"
178,59,11,"[-34, -48]"
179,50,11,"[41, -32]"
180,57,12,"[43, 56]"
181,65,11,"[96, -71]"
182,59,11,"[94, -53]"
183,57,10,"[-88, 41]"
184,59,11,"[-38, 46]"
185,54,11,"[62, -90]"
186,51,12,"[1, -78]"
187,59,10,"[-99, 38]"
188,56,12,"[76, 23]"
189,64,11,"[-36, -5]"
190,54,11,"[-42, 35]"
191,64,11,"[-39, 44]"
192,65,12,"[0, 91]"
193,54,12,"[-98, -41]"
194,58,11,"[-47, 82]"
195,53,10,"[73, -65]"
196,53,10,"[47, 40]"
197,50,12,"[47, -7]"
198,61,10,"[39, 96]"
199,52,12,"[9, -100]"
200,60,10,"[14, 8]"
201,55,10,"[76, -87]"
202,54,12,"[-44, -95]"
